li	unicode	GHC	homophones	sea	GX2021	GX202404	GX202411
3077	𗋇	ɣju¹	3	1.03	ɣu¹	γu¹	ghu¹
3078	𗋅	lwu¹	9	1.01	lwuʶ¹	lwu̱¹	lwu̱¹
3079	𘉱	śji̱w¹	7	1.47	nśiw¹	nśiw¹	nśiw¹
3080	𗋛	njwɨ̣¹	3	1.69	nwə̣¹	nwəh¹	nwəh¹
3081	𘉾	wjịj¹	2	1.61	wẹ¹	veh¹	veh¹
3082	𗌪	ljwɨ¹	9	1.30	lwə¹	lwə¹	lwə¹
3083	𗐔	ɣar²	8	2.73	ʁaʶr²	rγa̱r²	rġha̱r²
3084	𗊒	pjạ¹	1	1.64	pạ¹	pah¹	pah¹
3085	𗊣	kụ²	5	2.51	qụʶ²	qu̱h²	qu̱h²
3086	𗘱	ŋwu̱¹	5	1.05	ɴɴwuʶ¹	ŋŋwu̱¹	ŋŋwu̱¹
3087	𗾆	dźjiw¹	7	1.45	dźiw¹	dźiw¹	dźiw¹
3088	𗐈	bjij¹	1	1.36	be¹	be¹	be¹
3089	𗐆	tśjọ¹	7	1.72	tśọ¹	tśoh¹	tśoh¹
3090	𗐇	lhọ²	9	2.62	lhọʶ²	lho̱ṁh²	lho̱ṃh²
3091	𗫱	khjã¹	5	1.26	khã¹	khaṁ¹	khaṃ¹
3092	𗫶	djij²	3	2.33	de²	de²	de²
3093	𗫷	djij²	3	2.33	de²	de²	de²
3094	𗫲	khjij¹	5	1.36	khe¹	khe¹	khe¹
3095	𗬀	lwu²	9	2.01	lwuʶ²	lwu̱²	lwu̱²
3096	𗫿	kjwi¹	5	1.11	kwi¹	kwi¹	kwi¹
3097	𗬄	tswa¹	6	1.17	tswaʶ¹	tswa̱¹	tswa̱¹
3098	𗬁	djɨj²	3	2.37	dəj²	deṁ²	deṃ²
3099	𗫻	dźji̱j¹	7	1.39	ndźe¹	ndźe¹	ndźe¹
3100	𗬃	se¹	6	1.08	siʶ¹	si̱¹	si̱¹
3101	𗫸	ˑjị²	8	2.60	ˑjị²	yih²	yih²
3102	𗬇	la²	9	2.14	laʶ²	la̱²	la̱²
3103	𗬈	we²	2	2.07	wiʶ²	vi̱²	vwi̱²
3105	𗨭	źjịj¹	9	1.61	źẹ¹	źeh¹	źeh¹
3106	𗨥	tsjwɨ¹	6	1.30	tswə¹	tswə¹	tswə¹
3107	𗩲	wji²	2	2.09	wi²	vi²	vi²
3108	𗽩	tjị²	3	2.60	tị²	tih²	tih²
3109	𗾏	wer¹	2	1.77	wiʶr¹	rvi̱r¹	rvwi̱r¹
3111	𗿣	mjijr²	1	2.68	mer²	rmer²	rmer²
3113	𗢭	gjɨ̱¹	5	1.32	ŋgə¹	ŋgə¹	ŋgə¹
3114	𗣂	lhjɨ¹	9	1.30	lhə¹	lhə¹	lhə¹
3115	𗣡	thjɨ²	3	2.28	thə²	thə²	thə²
3116	𗨡	djịj¹	3	1.61	dẹ¹	deh¹	deh¹
3117	𗨶	to²	3	2.42	toʶ²	to̱²	to̱²
3118	𗥑	xu¹	8	1.01	χuʶ¹	hu̱¹	hu̱¹
3119	𗫔	ˑji¹	8	1.11	ˑji¹	yi¹	yi¹
3120	𗣹	tsji²	6	2.10	tsi²	tsi²	tsi²
3121	𗤹	ɣju¹	8	1.03	ɣu¹	γu¹	ghu¹
3122	𗽌	piə̣j²	8	2.65	pʕə̣ʶj²	pae̱ṁh²	pae̱ṃh²
3123	𗫛	ljị²	9	2.60	lị²	lih²	llih²
3124	𗧸	zjịj²	9	2.54	zẹ²	zeh²	zeh²
3125	𘔽	nio̱w¹	3	1.57	nʕooʶw¹	nuo¹	nuo¹
3126	𗿷	dźjij²	7	2.32	dźe²	dźe²	dźe²
3127	𗿘	tshjɨ¹	6	1.30	tshə¹	tshə¹	tshə¹
3128	𗤭	ˑjwĩ¹	8	1.16	ˑjwĩ¹	ywiṁ¹	ywiṃ¹
3129	𗨌	njwɨ¹	3	1.30	nwə¹	nwə¹	nwə¹
3130	𗦖	mjijr²	1	2.68	mer²	rmer²	rmer²
3131	𗧵	sa̱r¹	6	1.83	nsaʶr¹	nsa̱r¹	nsa̱r¹
3132	𗩒	kwar¹	5	1.80	qwaʶr¹	rqwa̱r¹	rqwa̱r¹
3133	𗫈	sjij¹	6	1.36	se¹	se¹	se¹
3134	𗪴	dew²	3	2.38	diʶw²	di̱w²	di̱w²
3135	𗩩	wjã²	2	2.23	wã²	vaṁ²	vaṃ²
3136	𗽛	pjạ¹	1	1.64	pạ¹	pah¹	pah¹
3138	𗽵	phə²	1	2.25	phəʶ²	phə̱²	phə̱²
3139	𗤀	śjij¹	7	1.35	śe¹	śe¹	śe¹
3140	𗫭	lhjụ²	9	2.52	lhụ²	lhuh²	lhuh²
3141	𗪰	gji²	5	2.10	gi²	gi²	gi²
3142	𗣪	bjị¹	1	1.67	bị¹	bih¹	bih¹
3143	𗧒	lhjɨ¹	9	1.30	lhə¹	lhə¹	lhə¹
3144	𗨖	pia¹	1	1.18	pʕaʶ¹	paa̱¹	paa̱¹
3146	𗥯	gjwị¹	5	1.67	gwị¹	gwih¹	gwih¹
3149	𗪱	bə¹	1	1.27	bəʶ¹	bə̱¹	bə̱¹
3150	𗧾	thjɨ²	3	2.28	thə²	thə²	thə²
3151	𗪻	mar¹	1	1.80	maʶr¹	rma̱r¹	rma̱r¹
3152	𗼀	gjwi²	5	2.10	gwi²	gwi²	gwi²
3153	𗻎	lew²	9	2.38	liʶw²	li̱w²	li̱w²
3154	𗨧	kjwɨ¹	5	1.30	kwə¹	kwə¹	kwə¹
3155	𗏰	tjịj²	3	2.54	tẹ²	teh²	teh²
3156	𗐁	tjị²	3	2.60	tị²	tih²	tih²
3157	𗥱	dzej¹	6	1.33	dzeʶ¹	dze̱¹	dze̱¹
3158	𗦒	ŋwər²	5	2.76	ɴwəʶr²	rŋwə̱r²	rŋwə̱r²
3159	𗨙	lhjịj²	9	2.54	lhẹ²	lheh²	lheh²
3160	𗾿	rjir²	9	2.72	rir²	rir²	rir²
3161	𗻠	ˑji¹	8	1.11	ˑji¹	yi¹	yi¹
3162	𗻶	xọ²	8	2.62	χọʶ²	ho̱ṁh²	ho̱ṃh²
3163	𗫟	phow¹	1	1.54	phoʶw¹	pho̱ṁ¹	pho̱ṃ¹
3164	𗺸	zjwɨ¹	9	1.30	zwə¹	zwə¹	zwə¹
3165	𗻨	rjir²	9	2.72	rir²	rir²	rir²
3166	𗻩	zẽ²	9	2.13	zĩʶ²	zi̱ṁ²	zi̱ṃ²
3167	𗢹	ˑjɨ¹	8	1.30	ˑjə¹	yə¹	yə¹
3168	𗩫	mjɨ̱¹	1	1.32	mmə¹	mmə¹	mmə¹
3169	𗽟	ɣwej²	8	2.30	ʁweʶ²	γwe̱²	ġhwe̱²
3170	𗿜	tśhji¹	7	1.10	tśhi¹	tśhi¹	tśhi¹
3171	𗿭	mjɨ̱¹	1	1.32	mmə¹	mmə¹	mmə¹
3172	𗫣	pa̱¹	1	1.22	mpaʶ¹	mpa̱¹	mpa̱¹
3173	𗤯	dzjị²	6	2.60	dzị²	dzih²	dzih²
3174	𗣌	mji²	1	2.10	mi²	mi²	mi²
3175	𗨳	tjị¹	3	1.67	tị¹	tih¹	tih¹
3176	𗫇	śjụ¹	7	1.59	śụ¹	śuh¹	śuh¹
3177	𗽺	kur²	5	2.69	quʶr²	rqu̱r²	rqu̱r²
3178	𗢮	gjwi¹	5	1.11	gwi¹	gwi¹	gwi¹
3179	𗢩	tsja¹	6	1.20	tsa¹	tsa¹	tsa¹
3180	𗢼	zjịj²	9	2.54	zẹ²	zeh²	zeh²
3183	𗧘	wo²	2	2.42	woʶ²	vo̱²	vwo̱²
3184	𗼰	lji²	9	2.09	li²	li²	li²
3185	𗽉	tjị¹	3	1.67	tị¹	tih¹	tih¹
3186	𗾉	sew²	6	2.38	siʶw²	si̱w²	si̱w²
3187	𘔰	ˑọ²	8	2.62	ˑọʶ²	γo̱ṁh²	wo̱ṃh²
3188	𗐚	rjor²	9	2.81	ror²	ror²	ror²
3189	𗬘	ljo²	9	2.44	lo²	lo²	lo²
3190	𗢯	lhjwa¹	9	1.20	lhwa¹	lhwa¹	lhwa¹
3192	𗣉	la̱¹	9	1.22	nlaʶ¹	nla̱¹	nlla̱¹
3193	𗣭	tshjĩ¹	6	1.16	tshĩ¹	tshiṁ¹	tshiṃ¹
3195	𗣃	gjwi²	5	2.10	gwi²	gwi²	gwi²
3196	𗧙	ljɨ²	9	2.27	lə²	lə²	llə²
3197	𗨫	ɣu²	8	2.04	ʁuʶ²	γu̱²	ġhu̱²
3198	𗧔	lụ¹	9	1.58	lụʶ¹	lu̱h¹	llu̱h¹
3199	𗩶	tśhjwɨj¹	7	1.42	tśhwəj¹	tśhweṁ¹	tśhweṃ¹
3200	𗤁	tśhjiw¹	7	1.46	tśhiw¹	tśhiw¹	tśhiw¹
3201	𗤂	dji²	3	2.10	di²	di²	di²
3202	𗧁	rjijr²	9	2.68	rer²	rer²	rer²
3203	𗽨	tia̱²	3	2.20	ntʕaʶ²	ntaa̱²	ntaa̱²
3204	𗾍	gjwi²	5	2.10	gwi²	gwi²	gwi²
3205	𘊠	zjịj²	9	2.54	zẹ²	zeh²	zeh²
3206	𗼿	nẹj²	3	2.53	nẹʶ²	ne̱h²	ne̱h²
3207	𗤴	bjij²	1	2.33	be²	be²	be²
3208	𗣯	djịj¹	3	1.61	dẹ¹	deh¹	deh¹
3209	𗫎	mjɨ̱¹	1	1.32	mmə¹	mmə¹	mmə¹
3210	𗤑	phjij¹	1	1.36	phe¹	phe¹	phe¹
3211	𗦜	sjo²	6	2.44	so²	so²	so²
3212	𗥇	tjɨ̣¹	3	1.69	tə̣¹	təh¹	təh¹
3213	𗦆	tsjĩ¹	6	1.16	tsĩ¹	tsiṁ¹	tsiṃ¹
3214	𗥙	tshã¹	6	1.24	tshãʶ¹	tsha̱ṁ¹	tsha̱ṃ¹
3215	𗥂	khe̱j¹	5	1.37	ɴqheʶ¹	ŋqhe̱¹	ŋqhe̱¹
3216	𗥩	ljwu²	9	2.03	lwu²	lwu²	lwu²
3217	𗣎	rar²	9	2.73	raʶr²	ra̱r²	ra̱r²
3218	𗨿	tjwar¹	3	1.82	twar¹	rtwar¹	rtwar¹
3219	𗨩	pa¹	1	1.17	paʶ¹	pa̱¹	pa̱¹
3220	𗪣	phow²	1	2.47	phoʶw²	pho̱ṁ²	pho̱ṃ²
3222	𗥘	liẹ¹	9	1.66	lʕịʶ¹	lai̱h¹	llai̱h¹
3223	𗽋	dzow¹	6	1.54	dzoʶw¹	dzo̱ṁ¹	dzo̱ṃ¹
3224	𗾴	bu²	1	2.01	buʶ²	bu̱²	bu̱²
3226	𗬚	njɨ̱¹	3	1.32	nnə¹	nnə¹	nnə¹
3227	𗬞	bjịj¹	1	1.61	bẹ¹	beh¹	beh¹
3228	𗤓	thjo̱¹	3	1.53	ntho¹	ntho¹	ntho¹
3229	𗥺	ŋwə̱¹	5	1.31	ɴɴwəʶ¹	ŋŋwə̱¹	ŋŋwə̱¹
3230	𗨞	lhjịj²	9	2.54	lhẹ²	lheh²	lheh²
3231	𗫥	dźjɨ̣¹	7	1.69	dźə̣¹	dźəh¹	dźəh¹
3232	𗪓	tshja²	6	2.17	tsha²	tsha²	tsha²
3234	𗥗	phə¹	1	1.27	phəʶ¹	phə̱¹	phə̱¹
3235	𗨮	kjạ²	5	2.57	kạ²	kah²	kah²
3236	𗩉	sjị¹	6	1.67	sị¹	sih¹	sih¹
3237	𗢱	tshow¹	6	1.54	tshoʶw¹	tsho̱ṁ¹	tsho̱ṃ¹
3238	𗣮	ˑjij¹	8	1.36	ˑje¹	ye¹	ye¹
3239	𗧖	tśiow²	7	2.48	tśʕoʶw²	tṣao̱ṁ²	tṣao̱ṃ²
3240	𗧼	dzju²	6	2.03	dzu²	dzu²	dzu²
3241	𗤚	me²	1	2.07	miʶ²	mi̱²	mi̱²
3242	𗾇	be¹	1	1.08	biʶ¹	bi̱¹	bi̱¹
3243	𗾎	kjwi¹	5	1.11	kwi¹	kwi¹	kwi¹
3245	𗻟	xẽ²	8	2.13	χĩʶ²	hi̱ṁ²	hi̱ṃ²
3246	𗺟	ɣor²	8	2.80	ʁoʶr²	rγo̱r²	rġho̱r²
3247	𗻪	ne̱w²	3	2.41	nniʶw²	nni̱w²	nni̱w²
3248	𗤱	rjɨj²	9	2.37	rəj²	reṁ²	reṃ²
3249	𗨝	śjĩ¹	7	1.16	śĩ¹	śiṁ¹	śiṃ¹
3250	𗤲	tshow²	6	2.47	tshoʶw²	tsho̱ṁ²	tsho̱ṃ²
3251	𗿏	tshwu²	6	2.01	tshwuʶ²	tshwu̱²	tshwu̱²
3252	𗫤	nju²	3	2.03	nu²	nu²	nu²
3253	𗐃	śja¹	7	1.19	śa¹	śa¹	śa¹
3254	𗿙	khju²	5	2.03	khu²	khu²	khu²
3255	𗺕	kji̱¹	5	1.14	ŋki¹	ŋki¹	ŋki¹
3256	𗺖	tsa¹	6	1.17	tsaʶ¹	tsa̱¹	tsa̱¹
3257	𗺲	lji²	9	2.09	li²	li²	li²
3258	𗥈	thə¹	3	1.27	thəʶ¹	thə̱¹	thə̱¹
3259	𗦂	dzji¹	6	1.11	dzi¹	dzi¹	dzi¹
3261	𗢲	gja̱²	5	2.21	ŋga²	ŋga²	ŋga²
3262	𗥴	khow¹	5	1.54	qhoʶw¹	qho̱ṁ¹	qho̱ṃ¹
3263	𗨪	kjɨ²	5	2.28	kə²	kə²	kə²
3264	𗽀	lhjɨ²	9	2.28	lhə²	lhə²	lhə²
3265	𗧍	kow¹	5	1.54	qoʶw¹	qo̱ṁ¹	qo̱ṃ¹
3266	𗦳	dzju²	6	2.03	dzu²	dzu²	dzu²
3267	𗨯	tśjɨ̱r²	7	2.85	tśəər²	rtśər²	rtśər²
3268	𗧗	tśhjwɨj¹	7	1.42	tśhwəj¹	tśhweṁ¹	tśhweṃ¹
3269	𗼁	wju¹	2	1.02	wu¹	vu¹	vu¹
3270	𗧚	djɨj¹	3	1.42	dəj¹	deṁ¹	deṃ¹
3272	𗴬	tśju¹	7	1.02	tśu¹	tśu¹	tśu¹
3273	𗏘	ɣar²	8	2.73	ʁaʶr²	rγa̱r²	rġha̱r²
3274	𗢰	na¹	3	1.17	naʶ¹	na̱¹	na̱¹
3275	𗣄	thwo²	3	2.42	thwoʶ²	thwo̱²	thwo̱²
3277	𗣆	tshja²	6	2.17	tsha²	tsha²	tsha²
3278	𗣣	tshji¹	6	1.11	tshi¹	tshi¹	tshi¹
3279	𗣶	gjɨ¹	5	1.30	gə¹	gə¹	gə¹
3280	𗥿	pjạ²	1	2.57	pạ²	pah²	pah²
3281	𗥚	zjwị²	9	2.60	zwị²	zwih²	zwih²
3282	𗥷	la̱¹	9	1.22	nlaʶ¹	nla̱¹	nlla̱¹
3283	𗧕	lju²	9	2.02	lu²	lu²	lu²
3284	𗥰	lja²	9	2.16	la²	la²	la²
3285	𗧌	no²	3	2.42	noʶ²	no̱²	no̱²
3287	𗨬	rur¹	9	1.75	ruʶr¹	ru̱r¹	ru̱r¹
3288	𗩷	ˑji¹	8	1.11	ˑji¹	yi¹	yi¹
3289	𗩹	ˑji¹	8	1.11	ˑji¹	yi¹	yi¹
3290	𗽗	lə²	9	2.25	ləʶ²	lə̱²	lə̱²
3291	𗽖	tshji¹	6	1.11	tshi¹	tshi¹	tshi¹
3292	𗽴	dã¹	3	1.24	dãʶ¹	da̱ṁ¹	da̱ṃ¹
3293	𗽜	we²	2	2.07	wiʶ²	vi̱²	vwi̱²
3294	𗾈	me̱²	1	2.11	mmiʶ²	mmi̱²	mmi̱²
3295	𗾕	rjir²	9	2.72	rir²	rir²	rir²
3296	𗾧	nja̱²	3	2.18	naa²	naw²	naw²
3297	𗿌	tśjij¹	7	1.35	tśe¹	tśe¹	tśe¹
3298	𗿯	djị¹	3	1.67	dị¹	dih¹	dih¹
3299	𘔳	lwew¹	9	1.43	lwiʶw¹	lwi̱w¹	lwi̱w¹
3300	𘔴	dju²	3	2.03	du²	du²	du²
3301	𘟦	bə²	1	2.25	bəʶ²	bə̱²	bə̱²
3302	𗩀	kjwɨ̱r¹	5	1.92	kwəər¹	rkwər¹	rkwər¹
3303	𗏠	ɣar²	8	2.73	ʁaʶr²	rγa̱r²	rġha̱r²
3304	𗩵	bə²	1	2.25	bəʶ²	bə̱²	bə̱²
3305	𗤒	kjiw¹	5	1.45	kiw¹	kiw¹	kiw¹
3306	𗤔	mju²	1	2.03	mu²	mu²	mu²
3307	𗦋	nej²	3	2.30	neʶ²	ne̱²	ne̱²
3308	𗧮	dji²	3	2.10	di²	di²	di²
3309	𗽑	dji̱j²	3	2.35	nde²	nde²	nde²
3310	𗾟	wạ²	2	2.56	wạʶ²	va̱h²	vwa̱h²
3311	𗿮	pə¹	1	1.27	pəʶ¹	pə̱¹	pə̱¹
3312	𗿞	djị¹	3	1.67	dị¹	dih¹	dih¹
3313	𗏱	ljị²	9	2.60	lị²	lih²	llih²
3314	𗏮	tshjịj²	6	2.54	tshẹ²	tsheh²	tsheh²
3315	𗩨	tsə̣¹	6	1.68	tsə̣ʶ¹	tsə̱h¹	tsə̱h¹
3316	𗦫	ˑjiw¹	8	1.45	ˑjiw¹	yiw¹	yiw¹
3318	𗩟	tśjịj¹	7	1.61	tśẹ¹	tśeh¹	tśeh¹
3319	𗩠	bạ²	1	2.56	bạʶ²	ba̱h²	ba̱h²
3320	𗫦	ɣiew¹	8	1.44	ʁʕiʶw¹	γai̱w¹	ġhai̱w¹
3321	𗽸	lhjɨ̱¹	9	1.32	nlhə¹	nlhə¹	nlhə¹
3322	𗿊	low²	9	2.47	loʶw²	lo̱ṁ²	lo̱ṃ²
3323	𗿖	ŋia̱²	5	2.20	ɴɴʕaʶ²	ŋŋaa̱²	ŋŋaa̱²
3324	𗿩	tśjịj²	7	2.54	tśẹ²	tśeh²	tśeh²
3326	𗪤	tśjị¹	7	1.67	tśị¹	tśih¹	tśih¹
3327	𗪳	we²	2	2.07	wiʶ²	vi̱²	vwi̱²
3328	𗽣	ljow²	9	2.49	low²	loṁ²	loṃ²
3329	𗩸	khjar¹	5	1.82	khar¹	rkhar¹	rkhar¹
3330	𗦌	swã¹	6	1.24	swãʶ¹	swa̱ṁ¹	swa̱ṃ¹
3331	𗪇	bu¹	1	1.01	buʶ¹	bu̱¹	bu̱¹
3333	𗦴	me̱²	1	2.11	mmiʶ²	mmi̱²	mmi̱²
3334	𗿦	mja¹	1	1.20	ma¹	ma¹	ma¹
3335	𗺗	dźia̱²	7	2.20	ndźʕaʶ²	ndẓaa̱²	ndẓaa̱²
3336	𗺝	tow¹	3	1.54	toʶw¹	to̱ṁ¹	to̱ṃ¹
3337	𗻀	bie²	1	2.08	bʕiʶ²	bai̱²	bai̱²
3338	𗺨	ner²	3	2.71	niʶr²	rni̱r²	rni̱r²
3339	𗺻	xia¹	8	1.18	χʕaʶ¹	haa̱¹	haa̱¹
3340	𗏙	dzjwɨr¹	6	1.86	dzwər¹	rdzwər¹	rdzwər¹
3341	𗥵	khə²	5	2.25	qhəʶ²	qhə̱²	qhə̱²
3342	𗫐	su¹	6	1.01	suʶ¹	su̱¹	su̱¹
3343	𗩏	tshe²	6	2.07	tshiʶ²	tshi̱²	tshi̱²
3344	𗻡	lhọ¹	9	1.70	lhọʶ¹	lho̱ṁh¹	lho̱ṃh¹
3345	𗪷	djɨ²	3	2.28	də²	də²	də²
3346	𗻅	lã¹	9	1.24	lãʶ¹	la̱ṁ¹	la̱ṃ¹
3347	𗻐	bu̱²	1	2.05	mbuʶ²	mbu̱²	mbu̱²
3348	𗻲	tswə̣¹	6	1.68	tswə̣ʶ¹	tswə̱h¹	tswə̱h¹
3349	𗏣	rjijr²	9	2.68	rer²	rer²	rer²
3351	𗪲	ɣjiw¹	8	1.46	ɣiw¹	γiw¹	ghiw¹
3352	𗏷	gjɨ²	5	2.28	gə²	gə²	gə²
3353	𗦛	dzər²	6	2.76	dzəʶr²	rdzə̱r²	rdzə̱r²
3354	𗪺	ɣie¹	8	1.09	ʁʕiʶ¹	γai̱¹	ġhai̱¹
3355	𗫙	lə²	9	2.25	ləʶ²	lə̱²	lə̱²
3356	𗧡	tsji̱j¹	6	1.39	ntse¹	ntse¹	ntse¹
3357	𗧠	kiẹj²	5	2.53	qʕẹʶ²	qae̱h²	qae̱h²
3359	𗿰	kiẹj²	5	2.53	qʕẹʶ²	qae̱h²	qae̱h²
3360	𗤮	tsji̱r²	3	2.86	tsiir²	rtser²	rtser²
3361	𗧎	kiẹj¹	5	1.60	qʕẹʶ¹	qae̱h¹	qae̱h¹
3362	𗼶	ŋur¹	5	1.75	ɴuʶr¹	rŋu̱r¹	rŋu̱r¹
3363	𗏋	sji²	6	2.10	si²	si²	si²
3364	𗬡	bjĩ¹	1	1.16	bĩ¹	biṁ¹	biṃ¹
3365	𗣳	sjịj²	6	2.54	sẹ²	seh²	seh²
3366	𗣵	biej¹	1	1.34	bʕeʶ¹	bae̱¹	bae̱¹
3367	𗩥	bo¹	1	1.49	boʶ¹	bo̱¹	bo̱¹
3368	𗫏	thjwị¹	3	1.67	thwị¹	thwih¹	thwih¹
3369	𗏵	mja¹	1	1.20	ma¹	ma¹	ma¹
3370	𗦬	gu²	5	2.01	ɢuʶ²	ġu̱²	ġu̱²
3371	𗪢	dzja¹	6	1.21	dza¹	dzaw¹	dzaw¹
3372	𗪒	kụ²	5	2.51	qụʶ²	qu̱h²	qu̱h²
3373	𗺧	phiow¹	1	1.55	phʕoʶw¹	phao̱ṁ¹	phao̱ṃ¹
3374	𗻝	zẽ²	9	2.13	zĩʶ²	zi̱ṁ²	zi̱ṃ²
3375	𗻳	pjɨj¹	1	1.42	pəj¹	peṁ¹	peṃ¹
3376	𗧿	me²	1	2.07	miʶ²	mi̱²	mi̱²
3377	𗏿	lja²	9	2.16	la²	la²	la²
3378	𗫮	dã¹	3	1.24	dãʶ¹	da̱ṁ¹	da̱ṃ¹
3379	𗺹	xew¹	8	1.43	χiʶw¹	hi̱w¹	hi̱w¹
3380	𗻬	źjɨr¹	9	1.86	źər¹	rźər¹	rźər¹
3381	𗨦	bə²	1	2.25	bəʶ²	bə̱²	bə̱²
3382	𗼾	nẽ¹	3	1.15	nĩʶ¹	ni̱ṁ¹	ni̱ṃ¹
3383	𗧴	thju²	3	2.03	thu²	thu²	thu²
3384	𗪖	low²	9	2.47	loʶw²	lo̱ṁ²	lo̱ṃ²
3385	𗫒	ba̱¹	1	1.22	mbaʶ¹	mba̱¹	mba̱¹
3387	𗽘	gjɨ²	5	2.28	gə²	gə²	gə²
3388	𗥸	ŋwu²	5	2.01	ɴwuʶ²	ŋwu̱²	ŋwu̱²
3389	𗣇	gjow²	5	2.48	gow²	goṁ²	goṃ²
3390	𗽱	dã¹	3	1.24	dãʶ¹	da̱ṁ¹	da̱ṃ¹
3391	𗐎	pjɨ¹	1	1.30	pə¹	pə¹	pə¹
3392	𗐖	tśji¹	7	1.10	tśi¹	tśi¹	tśi¹
3393	𗺇	djij²	3	2.33	de²	de²	de²
3394	𘚺	khiəj¹	5	1.41	qhʕəʶj¹	qhae̱ṁ¹	qhae̱ṃ¹
3395	𘚸	dzjị²	6	2.60	dzị²	dzih²	dzih²
3396	𗴪	mjɨr²	1	2.77	mər²	rmər²	rmər²
3397	𗃰	xej¹	8	1.33	χeʶ¹	he̱¹	he̱¹
3398	𗐑	śji¹	7	1.10	śi¹	śi¹	śi¹
3399	𗴡	ga̱¹	5	1.22	ɴɢaʶ¹	ŋġa̱¹	ŋġa̱¹
3400	𗴑	khiəj¹	5	1.41	qhʕəʶj¹	qhae̱ṁ¹	qhae̱ṃ¹
3402	𗃕	źie̱¹	9	1.13	nźʕiʶ¹	nẓai̱¹	nẓai̱¹
3403	𗬨	pə¹	1	1.27	pəʶ¹	pə̱¹	pə̱¹
3404	𗃢	śji̱¹	7	1.14	nśi¹	nśi¹	nśi¹
3405	𗬧	wə̣¹	2	1.68	wə̣ʶ¹	və̱h¹	vwə̱h¹
3406	𗃵	pjụ²	1	2.52	pụ²	puh²	puh²
3407	𗃮	dźiow²	4	2.48	dźʕoʶw²	dẓao̱ṁ²	dẓao̱ṃ²
3408	𗴏	tsja¹	6	1.19	tsa¹	tsa¹	tsa¹
3409	𗃖	mju²	1	2.03	mu²	mu²	mu²
3410	𗃜	ljị²	9	2.60	lị²	lih²	llih²
3411	𘓛	dzjwi¹	6	1.11	dzwi¹	dzwi¹	dzwi¹
3412	𗴥	mjiw²	1	2.40	miw²	miw²	miw²
3413	𗃸	xiə¹	8	1.28	χʕəʶ¹	haə̱¹	haə̱¹
3414	𗃙	dźiəj²	7	2.36	dźʕəʶj²	dẓae̱ṁ²	dẓae̱ṃ²
3415	𘀂	khu¹	5	1.01	qhuʶ¹	qhu̱¹	qhu̱¹
3416	𗃤	me̱²	1	2.11	mmiʶ²	mmi̱²	mmi̱²
3417	𗴔	lja¹	9	1.19	la¹	la¹	la¹
3418	𗴘	gjwɨ¹	5	1.30	gwə¹	gwə¹	gwə¹
3419	𗴢	bju̱¹	1	1.07	mbu¹	mbu¹	mbu¹
3420	𘓗	dzə¹	6	1.27	dzəʶ¹	dzə̱¹	dzə̱¹
3421	𗬴	ləj¹	9	1.40	ləʶj¹	le̱ṁ¹	le̱ṃ¹
3422	𗃦	djɨ¹	3	1.30	də¹	də¹	də¹
3423	𗐐	xjow¹	8	1.56	xow¹	hoṁ¹	hoṃ¹
3424	𗃬	le²	9	2.07	liʶ²	li̱²	lli̱²
3425	𗴟	pja¹	1	1.20	pa¹	pa¹	pa¹
3426	𗴓	rjir²	9	2.72	rir²	rir²	rir²
3427	𗴚	pjij¹	1	1.36	pe¹	pe¹	pe¹
3429	𗼊	sew¹	6	1.43	siʶw¹	si̱w¹	si̱w¹
3430	𗼪	djị²	3	2.60	dị²	dih²	dih²
3431	𗼮	dzjụ²	6	2.52	dzụ²	dzuh²	dzuh²
3432	𗐌	wa¹	2	1.17	waʶ¹	va̱¹	vwa̱¹
3433	𗼗	djɨj¹	3	1.42	dəj¹	deṁ¹	deṃ¹
3434	𗼅	njwɨ¹	3	1.30	nwə¹	nwə¹	nwə¹
3437	𗼚	ˑow²	8	2.47	ˑoʶw²	γo̱ṁ²	wo̱ṃ²
3438	𗼠	khjwɨ¹	5	1.30	khwə¹	khwə¹	khwə¹
3439	𗼡	pjịj¹	1	1.61	pẹ¹	peh¹	peh¹
3440	𗼥	ka¹	5	1.17	qaʶ¹	qa̱¹	qa̱¹
3441	𗼩	ɣạ²	8	2.56	ʁạʶ²	γa̱h²	ġha̱h²
3442	𗼋	dzjwɨ̣¹	6	1.69	dzwə̣¹	dzwəh¹	dzwəh¹
3443	𗼏	po¹	1	1.49	poʶ¹	po̱¹	po̱¹
3445	𘉃	dzə̣¹	6	1.68	dzə̣ʶ¹	dzə̱h¹	dzə̱h¹
3446	𗢝	ˑju¹	8	1.02	ˑju¹	yu¹	yu¹
3448	𗐕	pjij²	1	2.33	pe²	pe²	pe²
3449	𗁄	mo²	1	2.42	moʶ²	mo̱²	mo̱²
3450	𗎴	tji¹	3	1.11	ti¹	ti¹	ti¹
3451	𗃉	gji̱j¹	5	1.39	ŋge¹	ŋge¹	ŋge¹
3452	𗂽	ˑjij²	8	2.33	ˑje²	ye²	ye²
3453	𗢁	xə¹	8	1.27	χəʶ¹	hə̱¹	hə̱¹
3454	𗆎	tshjij²	6	2.33	tshe²	tshe²	tshe²
3456	𗄼	lja¹	9	1.20	la¹	la¹	la¹
3457	𗆧	sjiw¹	6	1.46	siw¹	siw¹	siw¹
3458	𗆊	kia¹	5	1.18	qʕaʶ¹	qaa̱¹	qaa̱¹
