li	unicode	GHC	homophones	sea	GX2021	GX202404	GX202411
1773	𘙖	kjɨ¹	5	1.30	kə¹	kə¹	kə¹
1774	𘔠	njij¹	3	1.36	ne¹	ne¹	ne¹
1775	𗍢	po¹	1	1.49	poʶ¹	po̱¹	po̱¹
1776	𗳯	ˑu²	8	2.01	ˑuʶ²	γu̱²	wu̱²
1777	𗉧	tshjɨ̣j¹	6	1.62	tshə̣j¹	tsheṁh¹	tsheṃh¹
1778	𗙼	ˑju²	8	2.02	ˑju²	yu²	yu²
1779	𗸷	lhjwịj²	9	2.54	lhwẹ²	lhweh²	lhweh²
1780	𗡤	mja̱¹	1	1.23	mma¹	mma¹	mma¹
1781	𗶉	zjɨr¹	9	1.86	zər¹	rzər¹	rzər¹
1782	𗶋	tsjir¹	6	1.79	tsir¹	rtsir¹	rtsir¹
1783	𗉨	tśjɨ̱r²	7	2.85	tśəər²	rtśər²	rtśər²
1784	𘆈	lụ¹	9	1.58	lụʶ¹	lu̱h¹	llu̱h¹
1785	𗱉	lhjij²	9	2.33	lhe²	lhe²	lhe²
1786	𗸀	ˑu²	8	2.01	ˑuʶ²	γu̱²	wu̱²
1787	𘇨	śiwe¹	7	1.09	śʕwiʶ¹	ṣwai̱¹	ṣwai̱¹
1788	𗰼	ˑo¹	8	1.49	ˑoʶ¹	γo̱¹	wo̱¹
1789	𘞇	bjị¹	1	1.67	bị¹	bih¹	bih¹
1790	𗷱	dźiəj²	7	2.36	dźʕəʶj²	dẓae̱ṁ²	dẓae̱ṃ²
1791	𘈏	rar²	9	2.73	raʶr²	ra̱r²	ra̱r²
1792	𗳸	thja²	3	2.17	tha²	tha²	tha²
1793	𗰻	lhji²	9	2.10	lhi²	lhi²	lhi²
1794	𗱀	ˑo¹	8	1.49	ˑoʶ¹	γo̱¹	wo̱¹
1795	𗰿	ˑjwi²	8	2.10	ˑjwi²	ywi²	ywi²
1796	𗳷	tśhjụ¹	7	1.59	tśhụ¹	tśhuh¹	tśhuh¹
1798	𘒸	xjwɨ¹	2	1.29	xwə¹	fə¹	fə¹
1799	𗱌	thu²	3	2.01	thuʶ²	thu̱²	thu̱²
1800	𗸁	lwo²	9	2.42	lwoʶ²	lwo̱²	lwo̱²
1801	𘈒	dzjij²	6	2.33	dze²	dze²	dze²
1802	𘜊	phjar¹	1	1.82	phar¹	rphar¹	rphar¹
1803	𗷿	mja¹	1	1.20	ma¹	ma¹	ma¹
1805	𘆋	ˑwọ¹	8	1.70	ˑwọʶ¹	γwo̱ṁh¹	ġhwo̱ṃh¹
1806	𘑰	dwewr²	3	2.78	dwiʶwr²	rdwi̱wr²	rdwi̱wr²
1807	𗸉	dźiəj²	7	2.36	dźʕəʶj²	dẓae̱ṁ²	dẓae̱ṃ²
1808	𘘎	tswər¹	6	1.84	tswəʶr¹	rtswə̱r¹	rtswə̱r¹
1809	𗖝	njij²	3	2.33	ne²	ne²	ne²
1810	𗖢	ne̱j²	3	2.34	nneʶ²	nne̱²	nne̱²
1811	𗖺	kju¹	5	1.03	ku¹	ku¹	ku¹
1812	𗗊	kju¹	5	1.03	ku¹	ku¹	ku¹
1813	𗖗	sẽ²	6	2.13	sĩʶ²	si̱ṁ²	si̱ṃ²
1814	𗗈	do¹	3	1.49	doʶ¹	do̱¹	do̱¹
1815	𘜏	njar¹	3	1.82	nar¹	rnar¹	rnar¹
1817	𗕽	dạ²	3	2.56	dạʶ²	da̱h²	da̱h²
