170D8	𗃘	⿰𘠈𘤭
170D9	𗃙	⿲𘠈𘠁𘥒
170DA	𗃚	⿰𘠈𘦜
170DB	𗃛	⿰𘠈𘦝
170DC	𗃜	⿲𘠈𘣀𘠡
170DD	𗃝	⿲𘠈𘠁𘥮
170DE	𗃞	⿰𘠈𘨄
170DF	𗃟	⿰𘠈⿱𘡊𘡾
170E0	𗃠	⿲𘠈𘠶𘤅
170E1	𗃡	⿲𘠈𘠶𘤈
170E2	𗃢	⿲𘠈𘠐𘦃
170E3	𗃣	⿲𘠈𘢌𘢌
170E4	𗃤	⿲𘠈𘫽𘫺
170E5	𗃥	⿰𘠈𘩱
170E6	𗃦	⿲𘠈𘢰𘣁
170E7	𗃧	⿰𘠈⿱𘣍𘢱
170E8	𗃨	⿲𘠈𘣨𘢌
170E9	𗃩	⿲𘠈𘢌𘣡
170EA	𗃪	⿲𘠈𘢌𘤆
170EB	𗃫	⿲𘠈𘤩𘡧
170EC	𗃬	⿲𘠈𘤩𘢷
170ED	𗃭	⿲𘠈𘦳𘠴
170EE	𗃮	⿲𘠈𘦳𘡑
170EF	𗃯	⿲𘠈𘢰𘤾
170F0	𗃰	⿰𘠈⿱𘡝⿲𘠁𘡃𘠢
170F1	𗃱	⿰𘠈⿰𘠁⿰𘡱𘣵
170F2	𗃲	⿰𘠈⿰𘠁⿰𘦂𘠴
170F3	𗃳	⿰𘠈⿱𘡅𘨈
170F4	𗃴	⿰𘠈⿱𘢫⿲𘠁𘠮𘠢
170F5	𗃵	⿲𘠈𘠶⿱𘡅𘤅
170F6	𗃶	⿲𘠈𘫽𘥫
170F7	𗃷	⿲𘠈⿱𘡊⿰𘠁𘠹𘢌
170F8	𗃸	⿰𘠈⿱𘠛𘪲
170F9	𗃹	⿲𘠈𘥾𘦉
170FA	𗃺	⿰𘠈⿺𘢦𘩡
170FB	𗃻	⿰𘠈𘫦
170FC	𗃼	⿲𘠈⿱𘡊⿰𘠁𘠹𘥿
170FD	𗃽	⿰𘠈⿰𘤩⿰𘠁𘨃
170FE	𗃾	⿰𘠈⿱𘨞𘦲
170FF	𗃿	⿱𘠊⿰𘠒𘠡
17100	𗄀	⿱𘠊𘫿
17101	𗄁	⿱𘠊⿰𘢬𘠢
17102	𗄂	⿱𘠊⿰𘡃𘡢
17103	𗄃	⿱𘠊⿲𘡃𘡗𘠁
17104	𗄄	⿱𘠊⿺𘢍⿰𘫺𘠅
17105	𗄅	⿱𘠊⿰𘡃𘣑
17106	𗄆	⿱𘠊⿰𘡃𘤧
17107	𗄇	⿱𘠊⿰𘡃𘤾
17108	𗄈	⿱𘠊⿰𘠮𘥦
17109	𗄉	⿱𘠊⿰𘡸𘤎
1710A	𗄊	⿱𘠊⿰𘡸𘤾
1710B	𗄋	⿱𘠊⿲𘠁𘤻𘡃
1710C	𗄌	⿱𘠊⿰𘡃𘦺
1710D	𗄍	⿱𘠊⿲𘡃𘠣𘡵
1710E	𗄎	⿱𘠊⿰𘥍𘢌
1710F	𗄏	⿱𘠊⿲𘡃𘠁𘥦
17110	𗄐	⿱𘠊⿲𘡃𘤜𘠢
17111	𗄑	⿱𘠊⿲𘡸𘠐𘣩
17112	𗄒	⿱𘠊⿰𘤃𘥦
17113	𗄓	⿱𘠊⿰𘪄𘠳
17114	𗄔	⿱𘠊⿰𘢬𘫸
17115	𗄕	⿱𘠊⿰𘫿𘥫
17116	𗄖	⿱𘠊⿲𘢌𘢡𘢌
17117	𗄗	⿱𘠊⿰𘡃𘪼
17118	𗄘	⿱𘠊⿰𘡃⿱𘢸𘣵
17119	𗄙	⿱𘠊⿰𘡃⿺𘢦𘦳
1711A	𗄚	⿱𘠊⿲𘡃𘤃𘥿
1711B	𗄛	⿱𘠊⿲𘤳𘨷𘠢
1711C	𗄜	⿱𘠊⿲𘢌𘢡𘧺
1711D	𗄝	⿱𘠀⿰𘠁𘤥
1711E	𗄞	⿱𘠀⿰𘠁𘤧
1711F	𗄟	⿱𘠀⿰𘠁𘤮
17120	𗄠	⿱𘠀⿲𘠁𘢷𘠢
17121	𗄡	⿱𘠀⿰𘠁⿱𘢸𘠡
17122	𗄢	⿱𘠀⿰𘠁⿲𘡃𘠁𘡃
17123	𗄣	⿱𘠀⿲𘠁𘤧𘢓
17124	𗄤	⿱𘠀⿲𘠁𘤃𘤧
17125	𗄥	⿱𘠀⿲𘠁𘤧𘤃
17126	𗄦	⿱𘠀⿲𘠁𘤧𘨱
17127	𗄧	⿱𘠀⿲𘠁𘧀𘥿
17128	𗄨	⿱𘠀⿲𘠁𘧪𘧦
17129	𗄩	⿰𘠐𘡲
1712A	𗄪	⿰𘠐𘢌
1712B	𗄫	⿰𘠐𘢓
1712C	𗄬	⿰𘠐𘣣
1712D	𗄭	⿰𘠐𘣩
1712E	𗄮	⿰𘠐𘣫
1712F	𗄯	⿲𘠐𘠳𘠢
17130	𗄰	⿰𘠐𘣹
17131	𗄱	⿲𘠐𘢌𘠁
17132	𗄲	⿲𘠐𘢌𘠂
17133	𗄳	⿰𘠐𘤧
17134	𗄴	⿰𘠐𘤩
17135	𗄵	⿰𘠐𘤭
17136	𗄶	⿰𘠐𘤮
17137	𗄷	⿰𘠐𘤾
17138	𗄸	⿰𘠐⿱𘠀𘤮
17139	𗄹	⿲𘠐𘢌𘠌
1713A	𗄺	⿰𘠐𘥿
1713B	𗄻	⿲𘠐𘢚𘠢
1713C	𗄼	⿰𘠐𘦗
1713D	𗄽	⿰𘠐𘦘
1713E	𗄾	⿲𘠐𘤜𘠅
1713F	𗄿	⿰𘠐𘦢
17140	𗅀	⿰𘠐𘦳
17141	𗅁	⿰𘠐𘧀
17142	𗅂	⿲𘠐𘢷𘠢
17143	𗅃	⿲𘠐𘣁𘠢
17144	𗅄	⿲𘠐𘣃𘠢
17145	𗅅	⿰𘠐𘧚
17146	𗅆	⿰𘠐⿱𘡩𘡃
17147	𗅇	⿰𘠐𘧫
17148	𗅈	⿰𘠐⿱𘠀𘦡
17149	𗅉	⿰𘠐𘫸
1714A	𗅊	⿰𘠐⿺𘡄𘡷
1714B	𗅋	⿲𘠐𘢔𘠴
1714C	𗅌	⿰𘠐𘨁
1714D	𗅍	⿲𘠐⿱𘠚𘠳𘠢
1714E	𗅎	⿰𘠐⿱𘠚𘫾
1714F	𗅏	⿰𘠐𘫵
17150	𗅐	⿰𘠐⿱𘠛𘣡
17151	𗅑	⿰𘠐⿱𘠛⿰𘠶𘠢
17152	𗅒	⿰𘠐𘨼
17153	𗅓	⿲𘠐𘡡𘢶
17154	𗅔	⿰𘠐𘩁
17155	𗅕	⿰𘠐⿱𘠀𘧰
17156	𗅖	⿰𘠐⿱𘡰𘡵
17157	𗅗	⿲𘠐𘠳𘫿
17158	𗅘	⿲𘠐𘣴𘠴
17159	𗅙	⿲𘠐𘢅𘢌
1715A	𗅚	⿲𘠐𘢌𘡦
1715B	𗅛	⿲𘠐𘢌𘡴
1715C	𗅜	⿲𘠐𘢌𘢉
1715D	𗅝	⿲𘠐𘢌𘢶
1715E	𗅞	⿰𘠐⿺𘡄𘣧
1715F	𗅟	⿰𘠐⿺𘡄𘤧
17160	𗅠	⿲𘠐𘤘𘠴
17161	𗅡	⿰𘠐⿸𘡋𘣟
17162	𗅢	⿲𘠐𘢤𘢌
17163	𗅣	⿰𘠐𘩸
